Stratum,Region,Sample mass/Vol DMSO,ER_BEQ_ng_E2_g,AhR_BEQ_ng_TCDD_g,B18 Eohaus Tox  Category,B18 Eohaus survival (% control),Sample Name,Total_PAHs,Benzo.b.fluoranthene,Benzo.k.fluoranthene,Dibenz.a.h.anthracene,Indeno.1.2.3.cd.pyrene,Benzo.a.pyrene,Benzo.e.pyrene,Benz.a.anthracene,Chrysene,Fluoranthene,Pyrene,Phenanthrene,Anthracene
Mid Shelf,South San Diego Shelf,3.75 g/0.2 mL,,0.06,Nontoxic,102.0408163,SWP0171 B18-10271,15.5,,,,,,,,,4,,,
Estuaries,Ballona Lagoon,3.75 g/0.4 mL,0.12,1.79,Low,83.67346939,SWP0172 B18-10672,476.53,68.4,,,16,33.1,35.1,24.6,35.7,58.5,55.5,32.2,10.6
Estuaries,Los Angeles River,3.75 g/0.2 mL,0.22,0.93,High,10.63829787,SWP0173 B18-10677,1395.9,167,,,,,95.5,,148,265,237,151,
Marinas,Channel Islands Harbor,3.75 g/0.4 mL,0.24,2.02,Low,85.85858586,SWP0174 B18-10046,1080.280002,93.09999847,77,26.70000076,114,62.79999924,75.80000305,92.5,76.19999695,137,131,40.29999924,6.800000191
Marinas,Marina del Rey,3.75 g/0.4 mL,0.16,1.15,Low,84,SWP0175 B18-10048,520.39,51,34,4.3,23,42,34,32,49,61,77,28,5.9
Marinas,Marina del Rey,3.75 g/0.4 mL,0.11,1.35,Nontoxic,94,SWP0176 B18-10050,582.7,60,36,5.6,27,48,41,36,61,62,77,28,7.3
Marinas,Newport Bay,3.75 g/0.4 mL,,0.63,Nontoxic,92.85714286,SWP0177 B18-10060,244.89,33.5,13.2,6.8,36.6,16.2,21.9,15.3,17.1,29.3,29.7,11.5,4.28
Marinas,Newport Bay,3.75 g/0.4 mL,0.12,1.5,High,47.95918367,SWP0178 B18-10063,463.22,65.9,24.9,13.8,44.7,32.1,43.2,24.4,35.2,39.5,51.12,13.8,5.72
Marinas,Mission Bay,3.75 g/0.4 mL,0.15,0.92,Nontoxic,103.1578947,SWP0179 B18-10073,256.7769956,18.29999924,17.39999962,6.510000229,37.29999924,14.69999981,14.19999981,35.59999847,18.20000076,23.79999924,22.79999924,9.390000343,1.799999952
Ports,Los Angeles/Long Beach,3.75 g/0.4 mL,0.1,0.74,Nontoxic,97.97979798,SWP0180 B18-10106,362.87,29,24,3,22,33,20,23,30,39,55,15,4.9
Ports,Los Angeles/Long Beach,3.75 g/0.4 mL,,0.71,Nontoxic,101.0204082,SWP0181 B18-10107,549.5017471,73.27787022,24.59234609,14.17637271,50.55,50.23394509,35.29118136,22.86189684,24.70881864,46.15640599,41.53078203,13.67720466,
Ports,Los Angeles/Long Beach,3.75 g/0.4 mL,0.32,0.57,Nontoxic,94.94949495,SWP0182 B18-10110,817.4,54,38,5.2,31,43,30,27,34,57,59,14,7.5
Estuaries,Los Angeles River Estuary,3.75 g/0.4 mL,0.26,2.6,Low,86.86868687,SWP0183 B18-10150,1423.9,89,64,18,30,63,70,73,160,240,240,120,24
Estuaries,Newport Bay,3.75 g/0.4 mL,,0.33,Low,87.87878788,SWP0184 B18-10165,17.73400074,6.789999962,2.920000017,0.768499976,3.980000019,4.790000081,4.329999924,5.324999928,8.210000381,10.32500029,9.579999924,10.10000038,0.655000001
Estuaries,San Diego Bay,3.75 g/0.4 mL,0.1,1.11,Nontoxic,98.95833333,SWP0185 B18-10179,387.4573429,35.20970154,32.12686157,6.214626789,29.73431015,30.72418976,31.76419067,18.94031906,30.60878944,37.87131882,44.78789902,15.78719997,4.093085766
Estuaries,Newport Bay,3.75 g/0.4 mL,2.14,0.92,Moderate,77.77777778,SWP0186 B18-10163,2946.449995,158,91.69999695,23.39999962,121,128,115,192,309,531,353,576,16.10000038
Estuaries,San Gabriel River,3.75 g/0.4 mL,,0.22,Nontoxic,98.97959184,SWP0187 B18-10151,61.9671002,6,5.039999962,1.809999943,7.179999828,4.110000134,5.300000191,5.650000095,3.609999895,6.010000229,8.170000076,0.407000005,0.224999994
Mid Shelf,East Santa Barbara Channel,3.75 g/0.4 mL,0.18,1.17,-,,SWP0188 B18-10243,152.3500001,8.989999771,4.480000019,4.909999847,13,7.320000172,8.180000305,19.60000038,9.56000042,17,16.79999924,7.900000954,1.519999981
Mid Shelf,East Santa Barbara Channel,3.75 g/0.4 mL,,0.54,-,,SWP0189 B18-10245,55.36300069,2.74000001,1.230000019,,,1.700000048,2.160000086,1.159999967,2.089999914,2.480000019,2.650000095,4.409999847,0.398000002
Mid Shelf,East Santa Barbara Channel,3.75 g/0.4 mL,0.21,0.93,-,,SWP0190 B18-10247,148.379,7.119999886,5.25,,8.329999924,4.599999905,7.760000229,6.929999828,6.010000229,10.60000038,11.19999981,15.69999981,0.888999999
Mid Shelf,East Santa Barbara Channel,3.75 g/0.4 mL,0.13,0.53,-,,SWP0191 B18-10248,117.0580009,5.489999771,4.150000095,1.600000024,5.690000057,3.589999914,4.679999828,8.680000305,4.909999847,8.380000114,9.460000038,11.5,0.931999981
Mid Shelf,San Pedro Shelf,3.75 g/0.4 mL,,0.18,Nontoxic,96,SWP0192 B18-10260,23.11,3.18,1.14,,,1.84,2.5,2.89,2,3.05,,3.84,1.46
Mid Shelf,San Pedro Shelf,3.75 g/0.4 mL,0.1,0.65,Nontoxic,99,SWP0193 B18-10263,285.97,32,10.6,9.62,26.5,17.4,24.9,,19.9,33.3,38.4,13.2,4.06
Mid Shelf,North San Diego Shelf,3.75 g/0.4 mL,,0.24,-,,SWP0194 B18-10268,11.2,,,,,,,,,,,,
Mid Shelf,South San Diego Shelf,3.75 g/0.4 mL,,0.48,Nontoxic,100,SWP0195 B18-10272,98.97,9.19,,,,7.135,7.16,12.6,3.085,8.455,9.315,,
Mid Shelf,South San Diego Shelf,3.75 g/0.4 mL,,0.53,Nontoxic,102.0408163,SWP0196 B18-10273,65.61,9.94,,,,7.54,6.66,,,9.51,10.6,,
Mid Shelf,Santa Monica Bay,3.75 g/0.4 mL,,0.71,-,,SWP0197 B18-10253,103.5888752,16.54853621,,,13.82,,10.27734977,5.546995378,6.87211094,12.74268105,11.24807396,7.565485362,
Mid Shelf,Santa Monica Bay,3.75 g/0.4 mL,,0.55,-,,SWP0198 B18-10252,40.42789223,9.825673534,,,,,6.893819334,,4.484944532,6.4659271,,3.629160063,
Mid Shelf,Santa Monica Bay,3.75 g/0.4 mL,,0.84,-,,SWP0199 B18-10255,123.1898305,18.83050847,,,15.8,,13.45762712,6.542372881,6.830508475,9.745762712,11.01694915,6.915254237,
Mid Shelf,San Pedro Shelf,3.75 g/0.4 mL,,0.23,-,,SWP0200 B18-10258,25.73,,,,,,1.7,2.22,1.28,2.07,,3.18,1.18
Mid Shelf,San Pedro Shelf,3.75 g/0.4 mL,,0.31,-,,SWP0201 B18-10259,30.46,,1.15,,3.19,1.85,2.4,2.91,1.85,2.91,,3.19,1.15
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.43,Nontoxic,98,SWP0202 B18-10386,7.542095,0.678917,0.289585,,0.563083,,,0.355546,0.949198,,,,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.4,Nontoxic,95,SWP0203 B18-10387,14.452909,1.014752,0.415205,,0.835578,0.818349,1.009584,0.79423,1.519546,,1.633253,,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.21,Nontoxic,95,SWP0204 B18-10389,5.625887,0.201533,0.076639,0.18876,0.208629,,,0.089412,0.272495,,,,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.04,Nontoxic,95,SWP0205 B18-10390,5.014326,,,,,,,,0.162367,,,,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.27,Nontoxic,99,SWP0206 B18-10391,11.190474,,0.102413,,5.062141,,,0.142646,0.219456,,,,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.51,Nontoxic,96,SWP0207 B18-10392,25.155418,0.539359,0.260271,,11.309276,,,0.449988,1.044223,,1.765457,,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.39,Nontoxic,95,SWP0208 B18-10394,8.474372,0.412521,0.151348,,2.363813,,,0.199872,0.430939,,0.805268,,
Estuaries,Santa Clara River,3.75 g/0.4 mL,,0.57,High,25.97393939,SWP0209 B18-10658,35.7270003,0.690999985,0.312999994,,,0.38499999,1.320000052,0.839999974,3.329999924,0.57099998,1.299999952,1.629999995,
Mid Shelf,Bight,3.75 g/0.4 mL,,0.62,-,,SWP0210 B18-10905,32.40181269,10.1510574,,,,,6.102719033,,4.365558912,7.673716012,,4.108761329,
Channel Islands,North Channel Islands,3.75 g/0.4 mL,,0.29,Nontoxic,95,SWP0211 B18-10393,11.254051,0.412521,0.182038,,2.567615,,,0.290673,0.566667,,1.462175,,
